start
time Gaze_x    Gaze_y    Contents
28   0.702389031302573 0.482234155961805    7
29   0.715357444356528 0.482734716356617    7
30   0.722915295525809 0.488267692301861    7
31   0.710904824038721 0.474551494668731    7
32   0.710316582422138 0.489262087103612    7
33   0.704253896329647 0.489067395314692    7
34   0.696848958336659 0.473802366182781    7
35   0.696587334185665 0.492829073973326    7
36   0.717655230631976 0.501588918450011    7
37   0.709687320255171 0.48389313913583    7
38   0.69089433624606 0.494981555675736    7
39   0.687153008153359 0.472883405739367    7
40   0.681715688251757 0.493624236799292    7
41   0.680595910824763 0.491451610190438    7
42   0.674282283497178 0.499987201326462    7
43   0.679964509581851 0.491861161463021    7
44   0.677855578391132 0.499503760615312    7
45   0.685398088135344 0.493184789080715    7
46   0.684341133836597 0.490328625767006    7
47   0.683277901487031 0.499855730952959    7
48   0.679942424708656 0.493016125042345    7
49   0.676782098619924 0.498004870067348    7
50   0.678290539408522 0.497031023449267    7
51   0.668788516016321 0.493524130302603    7
52   0.667462316544857 0.484119749552519    7
53   0.670224860936742 0.489404300270621    7
54   0.673676258239311 0.494029353119799    7
55   0.682576946657719 0.499982582600751    7
56   0.665141830201947 0.493167150173235    7
57   0.66315143615077 0.489234330919089    7
58   0.665836293042162 0.481964312836226    7
59   0.661727840069034 0.507262014494927    7
60   0.668157912943457 0.48446185166938    7
61   0.663052160745906 0.492881196579447    7
62   0.659200247598051 0.479635789826602    7
63   0.665410848598299 0.488400374039884    7
64   0.663935921824759 0.492885604500316    7
65   0.667001683239278 0.48780438764436    7
66   0.661461269355527 0.483136597974749    7
67   0.656144042121355 0.499749340730204    7
68   0.658645419552499 0.486770325126713    7
69   0.668310679636193 0.479472049643846    7
70   0.660844506885724 0.475409315163915    7
71   0.658186585179124 0.46205920826344    7
72   0.659701100995221 0.470459144004622    7
73   0.657180980143153 0.48271517215278    7
74   0.659292043251526 0.482411805236211    7
75   0.654509721081354 0.479756915708322    7
76   0.658599688928916 0.487867577852853    7
77   0.659263741742961 0.48175889064828    7
78   0.663622892306648 0.486614961967234    7
79   0.662972293984581 0.488698448892023    7
80   0.663808900395907 0.479068009226467    7
81   0.660949783692672 0.485386504130133    7
82   0.663742752285316 0.494641420791595    7
83   0.656744332292533 0.48694561737841    7
84   0.658596239667077 0.499088746275902    7
85   0.659566848195595 0.493768214496981    7
86   0.663092615856272 0.489535714925296    7
87   0.65926144248499 0.492482427658615    7
88   0.65433265595118 0.479177611366708    7
89   0.661775509956783 0.48335697535083    7
90   0.660552304326075 0.495446489400365    7
91   0.661989244691426 0.490842956033475    7
92   0.660179020424152 0.491312427454091    7
93   0.664269559914715 0.495244064105236    7
94   0.653526743270163 0.488589074728452    7
95   0.628371817802076 0.489891212610019    7
96   0.638848634189685 0.496500993873269    7
97   0.640980171798446 0.50738963753588    7
98   0.634903756649237 0.510060743879535    7
99   0.621865126290345 0.49664825306786    7
100   0.630408217977788 0.507761304342125    7
101   0.630494744342968 0.491280770690537    7
102   0.638863418110759 0.497425106843821    7
103   0.630092335404584 0.502798370896244    7
104   0.632384932115315 0.494886615685346    7
105   0.633681231833634 0.504510348186045    7
106   0.634672145347963 0.506466784256759    7
107   0.630890826256632 0.50536807763126    7
108   0.636657797968041 0.507272440626593    7
109   0.634697721940938 0.503744984021182    7
110   0.631918834227918 0.528254149968348    7
0   0.641100597658578 0.29918455854704    3
0   0.763359154662112 0.615853805967504    8
0   0.685880443112296 0.655080061198646    7
1   0.702985346600371 0.569557280111667    7
2   0.652456226785603 0.393707502865254    7
3   0.672075084636958 0.372631870668442    7
0   0.678074115314416 0.259226728785507    3
0   0.793146490123263 0.483893025000157    8
1   0.912568583879192 0.46009486129617    8
2   0.886034189719567 0.462838208117546    8
3   0.872071786415745 0.473383439191593    8
4   0.871320278853318 0.477255694478458    8
5   0.872942299674833 0.483129312841243    8
6   0.870846461218662 0.48454878198288    8
7   0.87618272743498 0.461994062642589    8
8   0.865286524531939 0.472703670283181    8
9   0.873150744133568 0.487005106408901    8
10   0.877801483301027 0.469398081205554    8
11   0.87417461886821 0.465335042585025    8
12   0.869584835143542 0.483303515787725    8
13   0.865242732160937 0.484707139571242    8
14   0.868733647962586 0.474325545697525    8
15   0.867172418403811 0.48605889854116    8
16   0.878086950228408 0.455018916444942    8
17   0.864733053372674 0.481856039678974    8
18   0.870275155434229 0.483803625479027    8
19   0.8693461877657 0.468445241071436    8
20   0.869625164643253 0.465241891350843    8
21   0.874966328106098 0.466207249266745    8
22   0.873161330522976 0.478542885562661    8
23   0.87039055459195 0.479857832719745    8
24   0.878177453819148 0.448437700843442    8
25   0.871014699498232 0.489783543699673    8
26   0.87956795703758 0.482333353509716    8
27   0.867567627763606 0.493056421956567    8
28   0.8725003775088 0.480765190272791    8
29   0.873766404298408 0.484803355666031    8
30   0.877150475407575 0.486346406147163    8
31   0.880949161548642 0.472374936332358    8
32   0.877835097453612 0.477342246991157    8
33   0.873420724004632 0.489877864218784    8
34   0.883382687648918 0.478779067322421    8
35   0.876340509327292 0.490720157758233    8
36   0.879087019878739 0.49380396559377    8
37   0.877295517543189 0.475077527428198    8
38   0.872805495739726 0.471973739557711    8
39   0.86852748918966 0.466086857893515    8
40   0.876453462957898 0.495111359734324    8
41   0.878396550379534 0.490721456133201    8
42   0.880866681762768 0.472822198835843    8
43   0.867810381704999 0.490334284576306    8
44   0.883036624337365 0.444151329404349    8
45   0.886979560232135 0.433807887210378    8
46   0.880181779460827 0.441238077726211    8
47   0.878247875337706 0.448582880561617    8
48   0.879688751768413 0.452908532378274    8
49   0.884371141774864 0.43858978215053    8
50   0.877745711329226 0.443969579800068    8
51   0.885438807566629 0.447499951115901    8
52   0.881560774168065 0.433291358248198    8
53   0.890672292949148 0.429871019089092    8
54   0.882602124164237 0.443031838471939    8
55   0.871472773663299 0.442351361036003    8
56   0.879412973885792 0.436521376804762    8
57   0.882180847986433 0.439889020662122    8
