start


confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=87 , Y=568],  error Point2D [X=-105 , Y=-32]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=80 , Y=542],  error Point2D [X=-112 , Y=-58]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=91 , Y=556],  error Point2D [X=-101 , Y=-44]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=131 , Y=614],  error Point2D [X=-61 , Y=14]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=137 , Y=634],  error Point2D [X=-55 , Y=34]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=90 , Y=555],  error Point2D [X=-102 , Y=-45]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=138 , Y=627],  error Point2D [X=-54 , Y=27]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=134 , Y=631],  error Point2D [X=-58 , Y=31]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=137 , Y=619],  error Point2D [X=-55 , Y=19]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=141 , Y=633],  error Point2D [X=-51 , Y=33]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=144 , Y=630],  error Point2D [X=-48 , Y=30]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=133 , Y=639],  error Point2D [X=-59 , Y=39]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=91 , Y=543],  error Point2D [X=-101 , Y=-57]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=135 , Y=617],  error Point2D [X=-57 , Y=17]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=144 , Y=628],  error Point2D [X=-48 , Y=28]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=149 , Y=643],  error Point2D [X=-43 , Y=43]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=136 , Y=612],  error Point2D [X=-56 , Y=12]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=95 , Y=549],  error Point2D [X=-97 , Y=-51]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=160 , Y=635],  error Point2D [X=-32 , Y=35]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=158 , Y=603],  error Point2D [X=-34 , Y=3]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=134 , Y=608],  error Point2D [X=-58 , Y=8]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=127 , Y=618],  error Point2D [X=-65 , Y=18]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=138 , Y=637],  error Point2D [X=-54 , Y=37]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=92 , Y=548],  error Point2D [X=-100 , Y=-52]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=150 , Y=632],  error Point2D [X=-42 , Y=32]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=147 , Y=618],  error Point2D [X=-45 , Y=18]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=144 , Y=626],  error Point2D [X=-48 , Y=26]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=146 , Y=622],  error Point2D [X=-46 , Y=22]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=139 , Y=624],  error Point2D [X=-53 , Y=24]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=88 , Y=531],  error Point2D [X=-104 , Y=-69]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=133 , Y=603],  error Point2D [X=-59 , Y=3]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=135 , Y=599],  error Point2D [X=-57 , Y=-1]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=138 , Y=620],  error Point2D [X=-54 , Y=20]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=139 , Y=647],  error Point2D [X=-53 , Y=47]
confirmPoint2D [X=192 , Y=600],  GazePoint2D [X=140 , Y=633],  error Point2D [X=-52 , Y=33]
